Date,gdp.log,real.rate,interest.rate,inflation,inflation.expectations,inflation.long
1980-01-01,3.87935081829948,6.48161789507956,15.5560735038333,8.97776839479378,9.07445560875374,8.92755256848697
1980-04-01,3.87935081829948,4.69212491733642,13.7664722421233,10.1516051455494,9.07434732478684,9.76982059688881
1980-07-01,3.87704401220156,1.3129546876269,11.2878172302653,10.631230165226,9.97486254263841,10.9470891997516
1980-10-01,3.89080569727425,4.86836801417742,15.2792334773967,11.8828581473079,10.4108654632193,11.9533311636085
1981-01-01,3.91332917194133,7.09375259701756,18.6975359889278,13.7494401095575,11.6037833919102,13.7097809775923
1981-04-01,3.92440348224042,8.84715385320338,20.6378145719057,10.8991144527179,11.7906607187023,10.5788056033619
1981-07-01,3.91555386696344,10.7422072921537,22.7008669054376,11.3032257435522,11.9586596132839,11.666593310647
1981-10-01,3.91109951661406,6.10010330206131,17.7510315827138,10.6519328167826,11.6509282806525,10.621406530854
1982-01-01,3.89761616627677,5.47476757568723,16.2530412860175,10.2588218282683,10.7782737103302,10.1630580529901
1982-04-01,3.88623947929466,6.38402666449656,17.2984357338014,11.4436558886165,10.9144090693049,11.2657864995808
1982-07-01,3.87935081829948,5.57041416976399,15.6537101304537,7.9787733090915,10.0832959606897,8.33096989830603
1982-10-01,3.87009149288668,2.46766303008646,11.6682255698956,7.12099913326032,9.20056253980914,7.03748263806631
1983-01-01,3.88623947929466,2.76068202178107,10.1692171549121,3.09071220155602,7.40853513313108,2.90474859425491
1983-04-01,3.90438056636531,4.31061431003913,10.0204244997703,4.64875611501665,5.70981018973112,4.63449351429331
1983-07-01,3.91555386696344,4.94248758557562,10.1468854701032,5.95712408827745,5.20439788452761,6.25141108207604
1983-10-01,3.92879909371346,5.78082816533301,10.3405768113635,4.54240217927197,4.55974864603052,4.43392160977173
1984-01-01,3.94619083642533,5.9457791900577,10.9611749877282,4.9133008081159,5.01539579767049,4.70266953090356
1984-04-01,3.96540167269101,7.40446231474549,12.3266263495398,4.27582906351186,4.92216403479429,2.73212102724681
1984-07-01,3.96962108823372,9.54495683951461,13.6665842967389,2.75497777799726,4.12162745722425,3.10621967604616
1984-10-01,3.98425039824967,7.99439270410748,11.6644528019533,2.73613274175823,3.67006009784581,3.87527781609469
1985-01-01,4.00071167530375,7.80354799306916,11.3404698458932,4.38074782802873,3.53692185282402,4.46451155520367
1985-04-01,4.00275041199359,7.01935244566442,10.2623144533054,3.09998968277965,3.24296200764097,4.16443494223859
